"longitude","latitude","species","weight","weight_percentile","weight_category"
102.277872,31.814941,"Apodemus peninsulae",0.439107068549939,73.3333333333333,"中权重"
100.366085,30.053275,"Apodemus peninsulae",0.164746889218573,33.3333333333333,"中权重"
100.328751,29.878071,"Apodemus peninsulae",0.167465703874576,38.8888888888889,"中权重"
101.0523,32.30115,"Apodemus peninsulae",0.0545854908259317,26.6666666666667,"中权重"
106.192717,35.673941,"Apodemus peninsulae",0.336906675887672,68.8888888888889,"中权重"
119.17008,25.82742,"Apodemus peninsulae",1,92.7777777777778,"高权重"
98.133333,24.933333,"Apodemus peninsulae",1,92.7777777777778,"高权重"
124.1755,39.8576,"Apodemus peninsulae",1,92.7777777777778,"高权重"
134.24,48.22,"Apodemus peninsulae",1,92.7777777777778,"高权重"
89.53,46.98,"Apodemus peninsulae",1,92.7777777777778,"高权重"
103.73,34.93,"Apodemus peninsulae",1,92.7777777777778,"高权重"
125.47,49.4,"Apodemus peninsulae",0.458462860694371,77.7777777777778,"高权重"
127.67,45.4,"Apodemus peninsulae",0.443393418685253,75.5555555555556,"高权重"
127.37,45.3,"Apodemus peninsulae",0.277782073902145,62.2222222222222,"中权重"
121.99,48.75,"Apodemus peninsulae",1,92.7777777777778,"高权重"
125.35,49.17,"Apodemus peninsulae",0.211780558598171,53.3333333333333,"中权重"
125.25,49.08,"Apodemus peninsulae",0.200021263931526,51.1111111111111,"中权重"
125.27,49.1,"Apodemus peninsulae",0.192846900984869,47.7777777777778,"中权重"
104.6911,38.0733,"BOLD:AAA3921",0.500051660480035,81.6666666666667,"高权重"
104.69114,38.073254,"BOLD:AAA3921",0.500051660480035,81.6666666666667,"高权重"
127.667,45.4,"BOLD:AAA3921",0.440634543585523,74.4444444444444,"中权重"
127.367,45.3,"BOLD:AAA3921",0.278065973232827,63.3333333333333,"中权重"
125.467,49.4,"BOLD:AAA3921",0.457499173517115,76.6666666666667,"高权重"
125.25,49.083,"BOLD:AAA3921",0.198576647232168,50,"中权重"
125.267,49.1,"BOLD:AAA3921",0.192882081908343,48.8888888888889,"中权重"
125.35,49.167,"BOLD:AAA3921",0.211145491396558,52.2222222222222,"中权重"
