"elevation","soil_type","Contrast","cv","Entropy","std","bio15","bio19","longitude","latitude","response","fold","bio1","bio12"
674.741394042969,11540.0869140625,91339.1953125,506.068298339844,26466.236328125,271.040252685547,126.411590576172,7,122.150002,48.5,1,1,0.429826647043228,460.919555664062
618.575561523438,11920,41211.8203125,291.022186279297,25002.662109375,160.014389038086,125.84748840332,6.64005422592163,122.25,48.083332,1,1,0.749695241451263,461.480255126953
2851.07836914062,11110,265407.21875,829.066772460938,27786.169921875,390.016632080078,86.068359375,7.39996957778931,103.533333,34.583332,1,2,3.95509338378906,588.8798828125
3224.01025390625,11724.0546875,60813.01171875,433.035888671875,26815.20703125,213.016250610352,86.3890762329102,8.59997081756592,103.375969,34.480751,1,2,1.64097845554352,624.39990234375
543.2880859375,11465.9248046875,294508.625,1370.88745117188,28804.544921875,418.981658935547,123.061141967773,9.19983386993408,117.71434,40.94157,1,1,9.14604377746582,501.199554443359
2975.5400390625,11110,269488.59375,1074.94946289062,28585.8046875,468.985931396484,86.596794128418,8,103.367149,34.602833,1,2,3.75449848175049,585.000366210938
2939.50512695312,11110,334369.125,658.953674316406,28834.767578125,376.9716796875,84.8474349975586,8,103.745155,34.491036,1,2,3.80054903030396,600.160217285156
2149.14892578125,11891,69250.7890625,345.992767333984,28812.447265625,203.995269775391,74.93408203125,22.7199249267578,107.383331,33.880501,1,2,6.02774667739868,784.879150390625
3541.89526367188,11724,68860.25,408.055877685547,27056.23828125,197.026809692383,76.830207824707,17.1999435424805,103.666664,32.5,1,2,4.01440191268921,726.839538574219
331.552368164062,11917,95632.359375,366.095397949219,27327.27734375,244.046142578125,107.609741210938,14.9199552536011,127.283333,45.366665,1,1,2.93614172935486,584.719543457031
435.848663330078,11407,172781.359375,535.96826171875,27408.857421875,311.979919433594,100.021934509277,23.3998966217041,126.699997,43.25,1,1,3.60511541366577,722.599243164062
331.496124267578,11917,64864.86328125,320.199951171875,26624.57421875,215.107452392578,107.846862792969,14.5599708557129,127.28333,45.36667,1,1,2.92572927474976,584.359497070312
1070.07312011719,11911,107596.7578125,363.014709472656,27554.544921875,222.008407592773,94.7412872314453,29.1200389862061,128.139087,41.535207,1,1,1.40673160552979,726.960205078125
3784.9130859375,11103,251821.4375,1144.90563964844,29717.62109375,524.964965820312,88.3924560546875,14.0000162124634,101.066,32.41199,1,3,3.11624765396118,701.400085449219
3769.05932617188,11103,402435.40625,1234.9384765625,29833.947265625,520.984985351562,88.3715972900391,14,101.068463,32.415339,1,3,3.12966990470886,701.199829101562
3769.05932617188,11103,402435.40625,1234.9384765625,29833.947265625,520.984985351562,88.3715972900391,14,101.0669,32.41117,1,3,3.12966990470886,701.199829101562
2455.212890625,11103.0009765625,59197.90625,355.038696289062,26693.15625,165.017456054688,82.2657699584961,12,104.44,34.62,1,2,4.43444919586182,594.600463867188
3769.05932617188,11103,402435.40625,1234.9384765625,29833.947265625,520.984985351562,88.3715972900391,14,101.073837,32.416525,1,3,3.12966990470886,701.199829101562
3765.7109375,11103,308874.8125,1229.97351074219,29652.896484375,582.973999023438,88.2697067260742,14,101.07337,32.417065,1,3,3.04638814926147,702.599792480469
3765.30932617188,11103,339559.125,1113.9404296875,29546.96484375,488.983856201172,88.4502334594727,14,101.078562,32.40628,1,3,3.2636034488678,699.399841308594
3928.96899414062,11103,465801.28125,1079.89208984375,29270.896484375,518.957580566406,88.4397888183594,14,101.1984,32.34516,1,3,2.64506602287292,702.599975585938
3784.9130859375,11103,251821.4375,1144.90563964844,29717.62109375,524.964965820312,88.3924560546875,14.0000162124634,101.066229,32.414228,1,3,3.11624765396118,701.400085449219
